-118.3608,35.9874,12/30/2015,01/06/2016
-117.4959,34.4104,01/23/2016,01/30/2016
-107.9822,33.3591,10/19/2015,10/26/2015
-114.5553,47.0263,10/27/2015,11/04/2015
-120.4365,39.8423,10/12/2015,10/19/2015
-111.7877,35.2865,10/30/2015,11/07/2015
-114.9013,48.9537,11/12/2015,11/20/2015
-116.4581,32.8335,02/29/2016,03/07/2016
-117.8419,34.2352,11/24/2015,12/02/2015
-116.6310,32.8335,11/13/2015,11/20/2015
-119.0527,34.7609,05/11/2014,05/18/2014
-109.5390,34.0600,09/22/2015,09/29/2015
-115.7661,48.4281,09/11/2015,09/18/2015
-109.5390,34.2352,12/27/2015,01/07/2016
-103.4848,43.8723,12/02/2015,12/09/2015
-102.6199,43.8723,10/22/2005,10/29/2005
-110.5768,34.4104,11/22/2015,11/29/2015
-103.3118,43.8723,10/10/2014,10/17/2014
-81.8627,29.3290,03/04/2016,03/12/2016
-81.5168,34.5857,11/23/2015,11/30/2015
-81.3438,34.5857,10/06/2015,10/13/2015
-105.3875,35.6370,11/10/2015,11/19/2015
-103.6578,43.8723,01/16/2015,01/23/2015
-103.4848,43.6971,07/05/2015,07/21/2015
-122.6852,39.1414,12/29/2015,01/05/2016
-120.9554,40.5431,09/26/2015,10/03/2015
-106.9443,36.5131,12/15/2015,12/23/2015
-103.6578,43.6971,12/16/2015,12/24/2015
-93.4521,47.5520,07/08/2015,07/15/2015
-93.6251,47.7272,01/02/2016,01/10/2016
-94.4900,47.2015,09/14/2015,09/21/2015
-105.7335,35.6370,09/10/2015,09/19/2015
-111.4417,35.2865,11/15/2015,11/23/2015
-105.2146,35.4618,09/15/2012,09/23/2012
-105.3875,35.9874,10/26/2013,11/02/2013
-106.9443,44.2228,12/22/2015,12/30/2015
-107.4633,44.2228,10/13/2015,10/20/2015
-107.1173,44.2228,11/30/2014,12/09/2014
-107.2903,44.2228,02/26/2013,03/05/2013
-121.9933,44.9237,11/08/2015,11/17/2015
-107.6362,44.9237,09/20/2015,09/28/2015
-119.5716,38.7909,09/20/2015,09/28/2015
-119.5716,38.6157,09/23/2015,09/30/2015
-111.6147,35.1113,01/30/2016,02/10/2016
-105.9065,38.7909,09/17/2014,09/25/2014
-120.6095,40.7184,09/16/2015,09/23/2015
-105.9065,38.6157,05/04/2015,05/11/2015
-106.2524,38.7909,09/23/2014,10/03/2014
-121.6474,40.0175,01/16/2016,01/23/2016
-106.5984,36.3379,03/01/2016,03/09/2016
-105.3875,38.7909,09/04/2013,09/11/2013
-112.1336,42.8210,01/01/2016,01/08/2016
-105.2146,38.9662,11/20/2015,11/27/2015
-105.9065,39.1414,10/11/2013,10/19/2013
-105.3875,39.1414,11/14/2015,11/22/2015
-111.9607,35.2865,11/02/2015,11/10/2015
-111.7877,35.1113,11/07/2015,11/15/2015
-121.1284,43.3467,01/16/2015,01/23/2015
-118.1878,35.9874,07/13/2015,07/20/2015
-121.8203,43.6971,09/29/2015,10/07/2015
-118.0148,36.1626,12/30/2015,01/08/2016
-114.3823,47.2015,10/18/2015,10/25/2015
-106.0795,38.9662,11/15/2014,11/27/2014
-120.9554,39.6670,11/27/2015,12/04/2015
-94.3170,47.2015,02/01/2016,02/08/2016
-119.3987,39.1414,09/29/2015,10/06/2015
-93.9711,47.2015,06/06/2015,06/13/2015
-94.1441,47.2015,01/09/2016,01/16/2016
-106.7714,36.3379,09/23/2015,10/02/2015
-92.9332,31.0812,01/08/2016,01/15/2016
-93.1062,31.6069,01/07/2016,01/14/2016
-121.4744,44.3980,02/05/2016,02/12/2016
-114.2094,47.2015,01/27/2016,02/03/2016
-99.8523,35.6370,11/25/2011,12/04/2011
-115.2472,43.5219,11/17/2015,11/25/2015
-110.9228,44.2228,10/13/2010,10/20/2010
-107.9822,35.2865,11/04/2013,11/18/2013
-107.9822,35.1113,09/26/2015,10/03/2015
-111.0958,34.0600,11/27/2015,12/06/2015
-106.4254,36.1626,10/29/2012,11/06/2012
-110.9228,33.8848,12/04/2015,12/13/2015
-108.6741,42.6458,12/01/2015,12/08/2015
-108.8471,42.6458,11/04/2014,11/12/2014
-119.2257,45.0989,01/17/2016,01/25/2016
-107.1173,34.2352,10/04/2014,10/11/2014
-92.5873,31.2565,01/13/2016,01/20/2016
-93.1062,31.0812,01/06/2016,01/13/2016
-109.5390,44.7484,06/14/2015,06/21/2015
-91.0305,48.2528,11/17/2013,12/01/2013
-109.5390,44.9237,09/20/2013,09/28/2013
-107.4633,33.8848,09/18/2015,09/25/2015
-109.8849,44.5732,07/29/2012,08/05/2012
-106.7714,36.5131,12/08/2015,12/15/2015
-118.7068,44.3980,11/02/2015,11/12/2015
-109.5390,44.3980,01/21/2015,01/28/2015
-118.3608,44.5732,01/02/2016,01/09/2016
-107.2903,34.4104,09/09/2008,09/17/2008
-118.8797,44.3980,11/03/2015,01/30/2016
-107.8092,34.4104,09/29/2014,10/30/2014
