PostalCode,Town,Region,ShortCode,Area,Latitude,Longitude
1347,Russian Mission,Alaska,AK,Kusilvak,61.7744,-161.3939
1349,Saint Marys,Alaska,AK,Kusilvak,62.1172,-163.2376
1350,Scammon Bay,Alaska,AK,Kusilvak,61.845,-165.5819
1351,Nunam Iqua,Alaska,AK,Kusilvak,62.5309,-164.8496
1354,Chignik Lake,Alaska,AK,Lake and Peninsula,56.2448,-158.7578
1355,Port Heiden,Alaska,AK,Lake and Peninsula,56.9643,-158.5664
1360,Chignik,Alaska,AK,Lake and Peninsula,56.3016,-158.4157
1364,Chignik Lagoon,Alaska,AK,Lake and Peninsula,58.2687,-156.6484
1366,Egegik,Alaska,AK,Lake and Peninsula,58.2062,-157.3422
1367,Iliamna,Alaska,AK,Lake and Peninsula,59.7525,-154.8236
1368,Levelock,Alaska,AK,Lake and Peninsula,59.2905,-156.6503
1370,Nondalton,Alaska,AK,Lake and Peninsula,59.9736,-154.8458
1373,Pedro Bay,Alaska,AK,Lake and Peninsula,59.8681,-154.0757
1375,Perryville,Alaska,AK,Lake and Peninsula,55.9453,-159.2593
1376,Pilot Point,Alaska,AK,Lake and Peninsula,57.5642,-157.5792
1378,Port Alsworth,Alaska,AK,Lake and Peninsula,60.2025,-154.3128
1379,Wasilla,Alaska,AK,Matanuska-Susitna Borough,61.5463,-149.5901
1380,Wasilla,Alaska,AK,Matanuska-Susitna Borough,61.5841,-149.4436
1420,Palmer,Alaska,AK,Matanuska-Susitna Borough,61.6303,-148.9872
1430,Big Lake,Alaska,AK,Matanuska-Susitna Borough,61.5214,-149.9544
1431,Wasilla,Alaska,AK,Matanuska-Susitna Borough,61.5923,-149.3959
1432,Skwentna,Alaska,AK,Matanuska-Susitna Borough,61.9903,-151.3978
1434,Sutton,Alaska,AK,Matanuska-Susitna Borough,61.7327,-148.7837
1436,Talkeetna,Alaska,AK,Matanuska-Susitna Borough,62.2605,-150.1101
1438,Trapper Creek,Alaska,AK,Matanuska-Susitna Borough,62.3167,-150.2314
1440,Wasilla,Alaska,AK,Matanuska-Susitna Borough,61.5313,-149.4784
1441,Willow,Alaska,AK,Matanuska-Susitna Borough,61.8966,-150.0038
1450,Houston,Alaska,AK,Matanuska-Susitna Borough,61.6303,-149.8181
1451,Saint Michael,Alaska,AK,Nome (CA),63.4776,-162.1091
1452,Stebbins,Alaska,AK,Nome (CA),63.5222,-162.2881
1453,Unalakleet,Alaska,AK,Nome (CA),63.8835,-160.7884
1460,Elim,Alaska,AK,Nome (CA),64.6217,-162.2604
1462,Gambell,Alaska,AK,Nome (CA),63.7766,-171.7017
1463,Koyuk,Alaska,AK,Nome (CA),64.9319,-161.1569
1464,Nome,Alaska,AK,Nome (CA),64.5011,-165.4064
1467,Savoonga,Alaska,AK,Nome (CA),63.6797,-170.4709
1468,Shaktoolik,Alaska,AK,Nome (CA),64.3537,-161.1932
1469,Shishmaref,Alaska,AK,Nome (CA),66.2306,-166.1373
1470,Teller,Alaska,AK,Nome (CA),65.2402,-166.3833
1471,Wales,Alaska,AK,Nome (CA),65.6092,-168.0875
1472,White Mountain,Alaska,AK,Nome (CA),64.6814,-163.4056
1473,Brevig Mission,Alaska,AK,Nome (CA),65.3342,-166.4786
1474,Anaktuvuk Pass,Alaska,AK,North Slope,68.1433,-151.7358
1475,Barrow,Alaska,AK,North Slope,71.2346,-156.8174
1501,Prudhoe Bay,Alaska,AK,North Slope,70.2922,-148.6694
1503,Kaktovik,Alaska,AK,North Slope,70.1319,-143.6239
1504,Point Lay,Alaska,AK,North Slope,69.7439,-163.0084
1505,Point Hope,Alaska,AK,North Slope,68.3486,-166.7347
1506,Wainwright,Alaska,AK,North Slope,70.6369,-160.0383
1507,Nuiqsut,Alaska,AK,North Slope,70.1927,-150.9971
1508,Atqasuk,Alaska,AK,North Slope,70.4947,-157.4411
1509,Buckland,Alaska,AK,Northwest Arctic,65.9789,-161.1262
1510,Deering,Alaska,AK,Northwest Arctic,66.0737,-162.714
1515,Kiana,Alaska,AK,Northwest Arctic,66.975,-160.4228
1516,Kivalina,Alaska,AK,Northwest Arctic,67.7269,-164.5333
1518,Kobuk,Alaska,AK,Northwest Arctic,66.9072,-156.8811
1519,Kotzebue,Alaska,AK,Northwest Arctic,66.8985,-162.5981
1520,Noatak,Alaska,AK,Northwest Arctic,67.5711,-162.9653
1521,Noorvik,Alaska,AK,Northwest Arctic,66.8364,-161.0441
1522,Selawik,Alaska,AK,Northwest Arctic,66.6039,-160.0069
1523,Shungnak,Alaska,AK,Northwest Arctic,66.8881,-157.1364
1524,Ambler,Alaska,AK,Northwest Arctic,67.0861,-157.8514
1525,Meyers Chuck,Alaska,AK,Prince of Wales-Hyder,55.7408,-132.2564
1526,Coffman Cove,Alaska,AK,Prince of Wales-Hyder,55.9524,-132.7503
1527,Thorne Bay,Alaska,AK,Prince of Wales-Hyder,55.6609,-132.5138
1529,Craig,Alaska,AK,Prince of Wales-Hyder,55.4732,-133.1171
1531,Hydaburg,Alaska,AK,Prince of Wales-Hyder,55.2087,-132.8259
1532,Hyder,Alaska,AK,Prince of Wales-Hyder,55.9169,-130.0247
1534,Klawock,Alaska,AK,Prince of Wales-Hyder,55.5526,-133.0555
1535,Metlakatla,Alaska,AK,Prince of Wales-Hyder,55.1215,-131.579
1536,Point Baker,Alaska,AK,Prince of Wales-Hyder,56.3528,-133.6211
1537,Sitka,Alaska,AK,Sitka City and Borough,57.0514,-135.3166
1538,Yakutat,Alaska,AK,Skagway-Hoonah-Angoon,59.812,-139.5505
1540,Angoon,Alaska,AK,Skagway-Hoonah-Angoon,57.5005,-134.586
1541,Elfin Cove,Alaska,AK,Skagway-Hoonah-Angoon,58.1944,-136.3433
1542,Gustavus,Alaska,AK,Skagway-Hoonah-Angoon,58.4284,-135.7615
1543,Hoonah,Alaska,AK,Skagway-Hoonah-Angoon,58.0977,-135.4316
1545,Pelican,Alaska,AK,Skagway-Hoonah-Angoon,57.9608,-136.2275
1546,Skagway,Alaska,AK,Skagway-Hoonah-Angoon,59.4685,-135.3018
1550,Tenakee Springs,Alaska,AK,Skagway-Hoonah-Angoon,57.7808,-135.2189
1560,Fort Greely,Alaska,AK,Southeast Fairbanks Census Area,63.952,-146.451
1561,Chicken,Alaska,AK,Southeast Fairbanks Census Area,64.0733,-141.9361
1562,Delta Junction,Alaska,AK,Southeast Fairbanks Census Area,64.0378,-145.7322
1564,Eagle,Alaska,AK,Southeast Fairbanks Census Area,64.7881,-141.2
1566,Northway,Alaska,AK,Southeast Fairbanks Census Area,62.9617,-141.9372
1568,Tanacross,Alaska,AK,Southeast Fairbanks Census Area,63.3853,-143.3464
1569,Tok,Alaska,AK,Southeast Fairbanks Census Area,63.3367,-142.9856
1570,Chitina,Alaska,AK,Valdez-Cordova (CA),61.5156,-144.4396
1571,Copper Center,Alaska,AK,Valdez-Cordova (CA),61.977,-145.3297
1581,Cordova,Alaska,AK,Valdez-Cordova (CA),60.5362,-145.7534
1583,Gakona,Alaska,AK,Valdez-Cordova (CA),62.3014,-145.3027
1585,Glennallen,Alaska,AK,Valdez-Cordova (CA),62.1039,-145.6617
1586,Tatitlek,Alaska,AK,Valdez-Cordova (CA),60.8906,-146.6703
1588,Valdez,Alaska,AK,Valdez-Cordova (CA),61.101,-146.9
1590,Whittier,Alaska,AK,Valdez-Cordova (CA),60.7734,-148.6839
1601,Kake,Alaska,AK,Wrangell-Petersburg (C,56.9736,-133.936
1602,Petersburg,Alaska,AK,Wrangell-Petersburg (C,56.8271,-133.1607
1603,Port Alexander,Alaska,AK,Wrangell-Petersburg (C,56.2497,-134.6444
1604,Wrangell,Alaska,AK,Wrangell-Petersburg (C,56.4335,-132.3529
1605,Anvik,Alaska,AK,Yukon-Koyukuk (CA),62.6561,-160.2067
1606,Grayling,Alaska,AK,Yukon-Koyukuk (CA),62.9036,-160.0647
1607,Holy Cross,Alaska,AK,Yukon-Koyukuk (CA),62.1926,-159.8251
1608,Mc Grath,Alaska,AK,Yukon-Koyukuk (CA),62.9457,-155.5712
1609,Shageluk,Alaska,AK,Yukon-Koyukuk (CA),62.6822,-159.5619
1610,Takotna,Alaska,AK,Yukon-Koyukuk (CA),62.9886,-156.0642
1611,Nikolai,Alaska,AK,Yukon-Koyukuk (CA),63.0133,-154.375
1612,Allakaket,Alaska,AK,Yukon-Koyukuk (CA),66.5656,-152.6456
1613,Arctic Village,Alaska,AK,Yukon-Koyukuk (CA),68.1269,-145.5378
1614,Beaver,Alaska,AK,Yukon-Koyukuk (CA),66.3594,-147.3964
1615,Bettles Field,Alaska,AK,Yukon-Koyukuk (CA),65.2264,-151.0251
1653,Central,Alaska,AK,Yukon-Koyukuk (CA),65.4681,-144.7489
1655,Circle,Alaska,AK,Yukon-Koyukuk (CA),65.8245,-144.0826
1701,Fort Yukon,Alaska,AK,Yukon-Koyukuk (CA),66.5647,-145.2739
1702,Galena,Alaska,AK,Yukon-Koyukuk (CA),64.7333,-156.9275
1703,Hughes,Alaska,AK,Yukon-Koyukuk (CA),66.0382,-154.2644
1704,Huslia,Alaska,AK,Yukon-Koyukuk (CA),65.6899,-156.292
1705,Kaltag,Alaska,AK,Yukon-Koyukuk (CA),64.3305,-158.7243
1718,Koyukuk,Alaska,AK,Yukon-Koyukuk (CA),64.8803,-157.7008
1719,Manley Hot Springs,Alaska,AK,Yukon-Koyukuk (CA),65.0011,-150.6339
1720,Lake Minchumina,Alaska,AK,Yukon-Koyukuk (CA),63.8828,-152.3122
1721,Minto,Alaska,AK,Yukon-Koyukuk (CA),65.0584,-149.6912
1730,Nenana,Alaska,AK,Yukon-Koyukuk (CA),64.5577,-149.0867
1731,Nulato,Alaska,AK,Yukon-Koyukuk (CA),64.7194,-158.1031
1740,Rampart,Alaska,AK,Yukon-Koyukuk (CA),65.509,-150.1619
1741,Ruby,Alaska,AK,Yukon-Koyukuk (CA),64.7201,-155.5039
1742,Stevens Village,Alaska,AK,Yukon-Koyukuk (CA),66.0064,-149.0908
1745,Tanana,Alaska,AK,Yukon-Koyukuk (CA),65.1719,-152.0789
1746,Venetie,Alaska,AK,Yukon-Koyukuk (CA),67.0104,-146.4137
1747,Chalkyitsik,Alaska,AK,Yukon-Koyukuk (CA),66.6544,-143.7222
1748,Autaugaville,Alabama,AL,Autauga,32.4625,-86.7149
1749,Billingsley,Alabama,AL,Autauga,32.6596,-86.7178
1752,Booth,Alabama,AL,Autauga,32.5016,-86.5727
1754,Marbury,Alabama,AL,Autauga,32.6841,-86.4946
1756,Prattville,Alabama,AL,Autauga,32.4787,-86.43
1757,Prattville,Alabama,AL,Autauga,32.4715,-86.4831
1760,Prattville,Alabama,AL,Autauga,32.464,-86.4597
1770,Jones,Alabama,AL,Autauga,32.5104,-86.8138
1772,Bay Minette,Alabama,AL,Baldwin,30.8635,-87.7644
1773,Bon Secour,Alabama,AL,Baldwin,30.3128,-87.7431
1775,Daphne,Alabama,AL,Baldwin,30.6197,-87.8895
1776,Spanish Fort,Alabama,AL,Baldwin,30.6959,-87.8867
1778,Elberta,Alabama,AL,Baldwin,30.3942,-87.589
1784,Fairhope,Alabama,AL,Baldwin,30.5012,-87.8835
1801,Fairhope,Alabama,AL,Baldwin,30.4841,-87.8606
1803,Foley,Alabama,AL,Baldwin,30.4007,-87.6857
1805,Foley,Alabama,AL,Baldwin,30.4222,-87.7064
1810,Gulf Shores,Alabama,AL,Baldwin,30.2717,-87.7589
1812,Gulf Shores,Alabama,AL,Baldwin,30.246,-87.7008
1813,Lillian,Alabama,AL,Baldwin,30.3972,-87.4745
1815,Little River,Alabama,AL,Baldwin,31.2246,-87.7548
1821,Loxley,Alabama,AL,Baldwin,30.618,-87.7562
1822,Magnolia Springs,Alabama,AL,Baldwin,30.3996,-87.7761
1824,Montrose,Alabama,AL,Baldwin,30.5623,-87.9005
1826,Orange Beach,Alabama,AL,Baldwin,30.281,-87.5815
